,Date,SM-BO,SM-MZ,MAT-NIF,SFA,DSP,C2 Sup,C4 inf,C5 supA,C5 inf,C6 s+m,C6 inf,BPL,MgO,Fe2O3,SiO2,CO2,BPLnif,MgOnif,Fe2O3nif,SiO2nif,CO2nif
0,Date,SM-BO,SM-MZ,MAT-NIF,SFA,DSP,C2 Sup,C4 inf,C5 supA,C5 inf,C6 s+m,C6 inf,BPL,MgO,Fe2O3,SiO2,CO2,BPL,MgO,Fe2O3,SiO2,CO2
1,1-janv.,0,16,0,0,0,0,0,0,33,28,23,53.22,1.3,0,12.85,8.92,53.84,1.24,0.32,12.85,7.97
2,2-janv.,0,31,0,0,0,0,0,0,26,22,21,52.81,1.31,0,13.23,9.21,53.41,1.36,0.3,13.63,7.9
3,3-janv.,0,20,0,0,0,0,14,0,21,27,18,53.64,1.27,0,13.57,8.54,50.69,1.3,0.31,12.41,9.84
4,4-janv.,0,17,0,0,0,0,6,0,29,26,23,53.55,1.3,0,13.14,8.74,53.09,1.51,0.32,13.75,8.16
5,5-janv.,0,26,0,0,0,0,12,0,21,21,21,53.44,1.35,0,13.63,8.72,54.6,0.98,0.33,13.57,7.54
6,6-janv.,0,29,0,0,0,0,7,0,22,20,22,53.1,1.33,0,13.51,8.91,57.22,1.04,0.28,11.26,7.01
7,7-janv.,0,45,0,0,0,0,4,0,16,25,11,52.56,1.35,0,11.11,8.88,57.37,1.17,0.29,11.02,7.17
8,8-janv.,0,58,0,0,0,0,0,0,7,23,12,51.96,1.33,0,11.42,8.88,55.17,1.27,0.29,12.35,8.28
9,9-janv.,0,54,0,0,0,0,6,0,9,23,8,52.48,1.29,0,11.12,8.73,51.75,1.32,0.31,12.4,9.35
10,10-janv.,0,74,0,0,0,0,0,0,4,22,0,51.04,1.38,0,11.78,9.38,49.79,0.87,0.3,14,9.01
11,11-janv.,0,44,0,0,0,0,8,0,6,34,8,53.37,1.15,0,12.9,8.22,55.14,1.71,0.28,12.46,7.46
12,12-janv.,0,32,0,0,0,0,5,0,21,24,18,52.8,1.33,0,12.27,8.91,57.81,1.29,0.29,10.62,6.98
13,13-janv.,0,43,0,0,0,0,0,0,14,25,18,52.57,1.28,0,12.73,8.83,54.9,1.69,0.3,12.17,7.46
14,14-janv.,0,46,0,0,0,0,0,0,16,20,18,52.12,1.36,0,12.87,9.05,55.04,1.46,0.3,12.85,7.62
15,15-janv.,0,42,0,0,0,0,0,0,18,24,15,52.29,1.34,0,12.53,9.04,53.07,1.71,0.31,12.24,9
16,16-janv.,0,36,0,0,0,0,0,0,19,32,12,52.78,1.33,0,11.86,9.05,55.87,1.57,0.29,12.51,8.3
17,17-janv.,0,55,0,0,0,0,0,0,3,25,17,52.68,1.28,0,12.82,8.95,55.78,1.25,0.33,12.82,7.91
18,18-janv.,0,35,0,0,0,0,0,0,23,24,19,53.2,1.38,0,12.53,9.01,53,1.44,0.34,12.8,8.6
19,19-janv.,0,45,0,0,0,0,0,0,22,20,13,52.71,1.41,0,12.43,9.2,54.19,0.98,0.3,12.7,8.05
20,20-janv.,0,33,0,0,0,0,0,17,14,27,9,52.52,1.49,0,13.34,9.02,54.99,1.2,0.29,12,7.88
21,21-janv.,0,39,0,0,0,0,0,16,24,22,0,51.5,1.63,0,12.24,9.79,51.86,1.62,0.34,10.77,9.6
22,22-janv.,0,49,0,0,0,0,0,7,18,26,0,52.14,1.47,0,12.74,9.24,53.1,1.45,0.34,12.96,7.54
23,23-janv.,0,38,0,0,0,0,0,4,21,28,10,52.52,1.65,0,12.83,9.44,54.39,1.66,0.32,10.96,9.09
24,24-janv.,0,31,0,0,0,0,6,11,7,38,7,53.42,1.48,0,13.22,8.59,54.01,1.9,0.34,12.15,8.28
25,25-janv.,0,30,0,0,0,0,0,0,29,31,10,53.77,1.49,0,12.08,8.84,58.25,1.6,0.31,11.27,7.79
26,26-janv.,0,27,0,0,0,0,0,10,12,33,18,53.67,1.43,0,13.12,8.39,59.39,1.5,0.32,10.86,7.24
27,27-janv.,0,37,0,0,0,0,0,18,0,30,15,53.49,1.5,0,13.57,8.13,58.23,1.46,0.31,10.43,7.04
28,28-janv.,0,32,0,0,0,0,16,7,0,31,14,54.85,1.37,0,11.97,7.49,54.69,1.49,0.33,12.24,8.23
29,29-janv.,0,44,0,0,0,0,14,0,0,27,15,54.5,1.29,0,11.79,7.6,58.58,1.23,0.32,12.02,6.54
30,30-janv.,0,40,0,0,0,0,0,19,0,27,14,52.99,1.45,0,12.58,8.36,56.03,1.87,0.33,11.39,9.02
31,31-janv.,0,39,0,0,0,0,0,20,0,28,13,53.99,1.42,0,13.58,7.99,59.37,1.27,0.34,12.62,7.3
32,1-févr.,0,43,0,0,0,0,0,15,0,20,21,53.31,1.55,0,12.36,8.03,53.75,1.58,0.3,9.9,9.22
33,2-févr.,0,37,0,0,0,0,0,30,0,25,9,53.22,1.71,0,12.12,8.2,56.36,1.28,0.29,0,8.2
34,3-févr.,0,28,0,0,0,0,0,16,0,33,24,53.8,1.32,0,12.5,7.72,58.1,1.11,0.27,0,6.83
35,4-févr.,0,45,0,0,0,0,0,20,0,21,13,52.92,1.57,0,12.49,8.38,57.1,1.4,0.33,0,7.57
36,5-févr.,0,52,0,0,0,0,0,21,0,16,10,53.18,1.68,0,12.84,8.05,52.89,2.11,0.34,0,8.94
37,6-févr.,0,56,0,0,0,0,0,17,0,13,13,53.32,1.66,0,13.2,7.94,50.77,1.66,0.33,0,9.63
