,SM-MZ,BPL,MgO,Fe2O3,SiO2,CO2,BPLnif,MgOnif,Fe2O3nif,SiO2nif,CO2nif
159,62,49.81,1.63,0,8.51,9.36,51.36,1.24,0.0,13.51,9.36
349,4,51.0,1.66,0,13.86,8.66,51.88,1.31,0.0,13.0,8.74
149,55,49.95,1.53,0,11.95,10.46,52.25,1.44,0.0,12.48,9.77
289,27,51.01,1.79,0,13.24,11.37,55.28,1.79,0.0,10.62,9.33
338,2,52.32,1.64,0,13.61,8.21,55.39,1.36,0.0,11.59,8.29
308,11,51.71,1.54,0,14.3,8.68,56.57,1.5,0.0,0,8.03
148,46,49.41,1.52,0,11.47,11.24,51.41,1.3,0.0,15.26,8.52
"(nan, nan)",11,53.34,1.55,0,12.35,6.84,54.47,1.58,0.0,12.38,8.88
73,35,53.1,1.52,0,11.44,8.07,53.73,1.69,0.32,14.68,8.84
"(nan, nan)",33,53.79,1.63,0,11.71,8.31,57.46,1.41,0.0,10.92,8.01
"(nan, nan)",9,54.35,1.56,3.39,13.13,6.39,54.92,1.68,0.0,11.46,0
310,3,51.99,1.49,0,15.34,8.26,53.35,1.74,0.0,10.25,13.21
300,25,52.4,1.51,0,13.85,9.43,57.69,1.48,0.0,12.49,6.44
"(nan, nan)",5,52.78,1.31,0,15.3,7.84,52.48,1.27,0.0,15.81,7.8
59,35,52.99,1.39,0,13.36,7.9,50.17,2.1,0.3,12.86,8.28
108,84,47.78,1.26,0,15.05,11.73,46.73,1.52,0.31,18.22,10.55
199,11,52.78,1.61,0,11.42,9.77,54.56,1.78,0.0,12.59,9.43
48,47,53.0,1.64,0,12.68,8.89,56.96,1.5,0.3,11.52,6.81
223,2,53.81,1.39,0,13.3,7.89,52.21,1.49,0.0,15.14,8.96
"(nan, nan)",14,51.19,1.86,0,11.76,9.67,51.28,1.67,0.0,15.27,8.88
37,47,52.35,1.64,0,12.87,8.93,50.91,1.85,0.3,13.81,9.84
