Date;SM-BO;SM-MZ;MAT-NIF;SFA;DSP;C2 Sup;C4 inf;C5 supA;C5 inf;C6 s+m;C6 inf;BPL;MgO;Fe2O3;SiO2;CO2;BPL;MgO;Fe2O3;SiO2;CO2
1-janv.;;16;;;;; -     ; -     ;33;28;23;53.22;1.3;;12.85;8.92;53.84;1.24;0.32;12.85;7.97
2-janv.;;31;;;;; -     ; -     ;26;22;21;52.81;1.31;;13.23;9.21;53.41;1.36;0.3;13.63;7.9
3-janv.;;20;;;;;14; -     ;21;27;18;53.64;1.27;;13.57;8.54;50.69;1.3;0.31;12.41;9.84
4-janv.;;17;;;;;6; -     ;29;26;23;53.55;1.3;;13.14;8.74;53.09;1.51;0.32;13.75;8.16
5-janv.;;26;;;;;12; -     ;21;21;21;53.44;1.35;;13.63;8.72;54.6;0.98;0.33;13.57;7.54
6-janv.;;29;;;;;7; -     ;22;20;22;53.1;1.33;;13.51;8.91;57.22;1.04;0.28;11.26;7.01
7-janv.;;45;;;;;4; -     ;16;25;11;52.56;1.35;;11.11;8.88;57.37;1.17;0.29;11.02;7.17
8-janv.;;58;;;;; -     ; -     ;7;23;12;51.96;1.33;;11.42;8.88;55.17;1.27;0.29;12.35;8.28
9-janv.;;54;;;;;6; -     ;9;23;8;52.48;1.29;;11.12;8.73;51.75;1.32;0.31;12.4;9.35
10-janv.;;74;;;;; -     ; -     ;4;22; -     ;51.04;1.38;;11.78;9.38;49.79;0.87;0.3;14;9.01
11-janv.;;44;;;;;8; -     ;6;34;8;53.37;1.15;;12.9;8.22;55.14;1.71;0.28;12.46;7.46
12-janv.;;32;;;;;5; -     ;21;24;18;52.8;1.33;;12.27;8.91;57.81;1.29;0.29;10.62;6.98
13-janv.;;43;;;;; -     ; -     ;14;25;18;52.57;1.28;;12.73;8.83;54.9;1.69;0.3;12.17;7.46
14-janv.;;46;;;;; -     ; -     ;16;20;18;52.12;1.36;;12.87;9.05;55.04;1.46;0.3;12.85;7.62
15-janv.;;42;;;;; -     ; -     ;18;24;15;52.29;1.34;;12.53;9.04;53.07;1.71;0.31;12.24;9
16-janv.;;36;;;;; -     ; -     ;19;32;12;52.78;1.33;;11.86;9.05;55.87;1.57;0.29;12.51;8.3
17-janv.;;55;;;;; -     ; -     ;3;25;17;52.68;1.28;;12.82;8.95;55.78;1.25;0.33;12.82;7.91
18-janv.;;35;;;;; -     ; -     ;23;24;19;53.2;1.38;;12.53;9.01;53;1.44;0.34;12.8;8.6
19-janv.;;45;;;;; -     ; -     ;22;20;13;52.71;1.41;;12.43;9.2;54.19;0.98;0.3;12.7;8.05
20-janv.;;33;;;;; -     ;17;14;27;9;52.52;1.49;;13.34;9.02;54.99;1.2;0.29;12;7.88
21-janv.;;39;;;;; -     ;16;24;22; -     ;51.5;1.63;;12.24;9.79;51.86;1.62;0.34;10.77;9.6
22-janv.;;49;;;;; -     ;7;18;26; -     ;52.14;1.47;;12.74;9.24;53.1;1.45;0.34;12.96;7.54
23-janv.;;38;;;;; -     ;4;21;28;10;52.52;1.65;;12.83;9.44;54.39;1.66;0.32;10.96;9.09
