;;Date;% par provenance;;;;;;;;;;;Simulé;;;;;NIF;;;;
;;;SM-BO;SM-MZ;MAT-NIF;SFA;DSP;C2S+M;C4;C5 SupA;C5 inf;C6 s+m;C6 inf;BPL ;MgO ;MO;SiO2 ;CO2;BPL ;MgO ;MO;SiO2 ;CO2
2022;Janvier;1-janv.;12;17;6;12;; -     ;;14;12;15;12;51.33;1.66;-;12.65;9.33;51.18;1.51;;13.7;9.53
;;2-janv.;11;12;20;6;;5;;9;7;15;14;50.75;1.67;-;14.04;8.89;53.78;1.61;;13.85;9.35
;;3-janv.;1;3;13;9;;6;;18;17;16;17;51.58;1.63;-;12.29;9.22;51.82;1.52;;12.43;9.94
;;4-janv.; -     ;8;11;13;;12;;12;12;14;18;51.52;1.62;-;12.87;9.01;51.25;1.57;;14.98;9.36
;;5-janv.; -     ;18;5;15;;9;;11;15;18;8;52;1.55;-;13.5;8.81;51.66;1.46;;13.7;8.94
;;6-janv.; -     ;12;10;11;;19;19;;7;13;10;51.82;1.55;-;14.18;8.37;51.63;1.48;;14.47;8.76
;;7-janv.; -     ;12;15;7;;11;5;12;13;17;7;51.27;1.62;-;12.55;9.42;52.61;1.41;;13.28;8.93
;;8-janv.; -     ;18;6;11;;13;7;13;12;12;6;51.52;1.63;-;13.27;8.96;51.85;1.35;;12.83;8.83
;;9-janv.; -     ;10;10;16;;13;;17;12;22; -     ;52.93;1.67;-;12.1;8.61;54.76;1.61;;12.81;8.77
;;10-janv.; -     ;12;4;16;;12;12;5;10;20;9;52.21;1.61;-;14.17;8.15;53.93;1.91;;10.67;7.72
;;11-janv.; -     ;17;1;9;;11;8;6;10;31;6;50.98;1.76;-;14.19;8.28;55.4;1.85;;13.73;7.71
;;12-janv.;3;19; -     ;8;;6;7;9;12;29;6;52.07;1.55;-;14.32;8.14;53.74;1.93;-;13.36;8.32
;;13-janv.;11;5; -     ;6;;7;10;19;16;25; -     ;51.95;1.8;-;12.94;8.9;53.56;1.9;;12.94;8.18
;;14-janv.;12;7; -     ; -     ;;6;;30;15;32; -     ;52.62;1.71;-;11.77;9.6;53.45;1.82;;14;8.08
;;15-janv.;11;2; -     ; -     ;;8;;21;21;28;9;52.69;1.67;-;12.42;9.25;53.95;1.44;;12.78;8.87
;;16-janv.;9; -     ; -     ; -     ;;17;; -     ;39;36; -     ;53.79;1.55;-;12.98;8.78;55.74;1.5;;12.9;7.71
;;17-janv.;9;8; -     ; -     ;;;;14;37;30;2;52.9;1.56;-;13.09;8.02;52.75;1.54;;12.4;8.53
;;18-janv.;3;4;5; -     ;; -     ;;11;32;37;10;52.54;1.56;-;12.57;8.97;54.92;1.59;;12.54;8.6
;;19-janv.;12;3;3; -     ;;2;;10;26;31;14;52.41;1.58;-;13.22;8.74;56.76;1.6;;11.08;8.77
;;20-janv.;11; -     ; -     ; -     ;;7;;10;26;33;13;52.97;1.55;-;12.75;8.66;54.65;1.33;;7.6;11.35
;;21-janv.;7;7; -     ; -     ;;8;;7;22;37;12;53.03;1.48;-;12.87;8.59;55.94;1.58;;13.26;7.55
;;22-janv.;8;6; -     ; -     ;;9;;8;32;30;7;52.74;1.6;-;12.33;9;54.79;1.59;;14.84;7.17
;;23-janv.;12;31; -     ;3;;3;;2;18;19;11;51.89;1.57;-;12.91;8.92;55.96;1.76;;11.36;8.16
;;24-janv.;7;17;3; -     ;;9;; -     ;34;26;5;52.49;1.59;-;12.96;8.47;55.76;1.72;-;12.48;8.06
;;25-janv.;2;18;2;4;;10;;6;32;19;7;52.11;1.63;-;13.34;8.62;52.22;1.81;-;13.6;8.46
;;26-janv.; -     ;16;2;11;;7;;1;38;25; -     ;52.34;1.64;-;11.78;9.44;56.08;1.76;-;13.3;7.64
;;27-janv.; -     ;18;1;15;; -     ;; -     ;29;29;7;52.35;1.57;-;11.64;9.59;56.7;1.88;-;11.42;9.15
;;28-janv.; -     ;14;8;7;;10;; -     ;37;24; -     ;54.14;1.83;-;12.87;3.75;53.78;2.1;-;10.4;2.1
